year,Australia,Canada,Germany,Ireland,Netherlands,Norway,Other,South Korea,Switzerland,USA,United Kingdom
2002,1,0,0,0,0,0,0,0,0,6,0
2003,0,0,0,0,0,0,0,0,0,2,0
2004,0,0,0,0,0,0,2,0,0,8,0
2005,1,0,1,0,1,0,0,0,0,9,1
2006,1,0,1,0,1,0,2,0,0,10,1
2007,1,2,1,0,0,0,2,0,0,11,0
2008,1,1,1,0,1,0,3,1,0,10,0
2009,2,1,0,2,0,1,4,1,0,5,0
2010,1,0,0,0,0,0,4,1,0,11,0
2011,1,0,0,0,0,0,2,1,1,10,1
2012,2,1,0,0,0,0,1,0,0,10,1
2013,1,0,3,1,0,0,1,1,1,7,0
2014,1,2,6,2,3,1,6,0,1,13,2
2015,2,6,3,0,2,1,6,2,3,13,3
2016,0,3,7,1,0,0,7,2,2,13,2
2017,0,0,7,2,1,0,5,1,2,13,1
2018,1,4,6,3,1,5,6,1,1,11,2
2019,2,2,7,3,1,3,6,2,1,10,2
2020,0,1,6,3,0,2,6,1,1,9,2
2021,4,0,7,11,3,3,18,3,3,8,3
2022,1,2,12,0,0,1,16,2,2,12,2
2023,1,0,10,2,2,1,7,10,3,9,4
2024,1,2,14,2,3,1,7,6,7,10,8
2025,0,0,8,0,3,0,10,4,2,12,4
