year,ALL Papers,Software Forensics,Computer Forensics,Network Forensics,Device Forensics,Knowledge Systematization,IoT Forensics
2002,7,1,1,2,0,2,0
2003,9,2,1,3,0,2,0
2004,17,2,4,4,0,5,0
2005,27,6,9,4,1,5,0
2006,42,7,17,4,1,10,0
2007,57,14,23,5,1,11,0
2008,74,17,32,8,2,11,0
2009,89,23,40,8,2,12,0
2010,105,24,50,10,5,12,0
2011,119,31,54,12,6,12,0
2012,133,37,59,13,8,12,0
2013,146,41,64,14,11,12,0
2014,174,48,70,18,14,15,1
2015,202,56,75,26,19,16,1
2016,231,64,86,31,21,17,1
2017,257,70,94,35,22,18,5
2018,286,80,99,38,28,21,6
2019,315,90,106,39,30,22,8
2020,341,93,115,42,32,23,14
2021,379,104,118,50,39,27,18
2022,416,117,123,56,41,29,21
2023,455,128,129,60,45,32,25
2024,495,138,136,63,53,35,29
2025,527,148,142,63,55,38,31
