year,ALL Papers,Software Forensics,Computer Forensics,Network Forensics,Device Forensics,Knowledge Systematization,IoT Forensics
2002,7,1,1,2,0,2,0
2003,2,1,0,1,0,0,0
2004,8,0,3,1,0,3,0
2005,10,4,5,0,1,0,0
2006,15,1,8,0,0,5,0
2007,15,7,6,1,0,1,0
2008,17,3,9,3,1,0,0
2009,15,6,8,0,0,1,0
2010,16,1,10,2,3,0,0
2011,14,7,4,2,1,0,0
2012,14,6,5,1,2,0,0
2013,13,4,5,1,3,0,0
2014,28,7,6,4,3,3,1
2015,28,8,5,8,5,1,0
2016,29,8,11,5,2,1,0
2017,26,6,8,4,1,1,4
2018,29,10,5,3,6,3,1
2019,29,10,7,1,2,1,2
2020,26,3,9,3,2,1,6
2021,38,11,3,8,7,4,4
2022,37,13,5,6,2,2,3
2023,39,11,6,4,4,3,4
2024,40,10,7,3,8,3,4
2025,32,10,6,0,2,3,2
